is_player,ai_controlled,driver_name,team,race_number,lap,lap_time_s,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,num_pit_stops,pit_stop_time_ms,lap_invalid,grid_position,stint,speed_kmh,throttle,steer,brake,gear,rpm,drs,brake_temp_rl,brake_temp_rr,brake_temp_fl,brake_temp_fr,tyre_surf_rl,tyre_surf_rr,tyre_surf_fl,tyre_surf_fr,tyre_inner_rl,tyre_inner_rr,tyre_inner_fl,tyre_inner_fr,engine_temp,tyre_press_rl,tyre_press_rr,tyre_press_fl,tyre_press_fr,weather,track_temp_c,air_temp_c,total_laps,track_length_m,safety_car,fuel_in_tank,fuel_remaining_laps,actual_compound,visual_compound,tyres_age_laps,ers_store_energy,ers_deploy_mode,ers_deployed,tyre_wear_rl,tyre_wear_rr,tyre_wear_fl,tyre_wear_fr,tyre_dmg_rl,tyre_dmg_rr,tyre_dmg_fl,tyre_dmg_fr,front_wing_l,front_wing_r,rear_wing,gearbox_damage,car_idx
False,True,Kyoko,team=41,2,29,91.223,91223,32183,19511,39529,7,1,0,0,13,3,285,1.0,0.001,0.0,7,11392,0,371,372,416,418,90,90,90,90,90,90,90,90,110,21.3,21.3,24.2,24.2,Clear,29,20,58,28680,Unknown,63.74,7.57,Hard,Hard,7,3774083.8,1,1555593.0,0.0,0.0,0.0,0.0,141,200,64,139,6,4,3,0,11
False,True,M1skycc,team=41,24,29,91.824,91824,32148,19742,39934,8,2,0,0,14,5,284,1.0,-0.002,0.0,7,11373,0,372,373,416,418,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,26632,Unknown,63.314,7.33,Medium,Medium,16,3731230.8,1,1301330.1,0.0,0.0,0.0,19.85,154,197,140,65,19,17,12,0,12
False,True,James,team=41,11,29,93.671,93671,32552,19646,41473,9,1,0,0,18,3,294,1.0,-0.001,0.0,8,10470,1,366,367,413,415,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,25608,Unknown,63.584,7.48,Medium,Medium,7,3798846.8,1,1503228.4,0.0,0.0,0.0,0.0,174,9,65,178,229,119,64,0,15
False,True,DJ Jörssi™,team=41,2,29,91.641,91641,32171,19720,39750,10,2,0,0,16,5,283,1.0,0.001,0.0,7,11344,0,370,371,414,417,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,25096,Unknown,63.48,7.42,Medium,Medium,3,3763809.0,1,1530400.6,0.0,0.0,0.0,0.0,64,136,158,104,63,4,3,0,13
False,True,dave,team=41,29,29,91.714,91714,32388,19614,39712,11,3,0,0,17,6,284,1.0,-0.0,0.0,7,11381,0,368,369,412,414,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,17160,Unknown,61.822,6.47,Medium,Medium,6,3761130.2,1,1536606.9,0.0,0.0,0.0,0.0,244,197,241,64,132,20,91,0,16
False,True,pedrogabrielbarbosa,team=41,2,30,91.492,91492,32404,19537,39551,1,1,0,0,2,3,285,1.0,0.002,0.0,7,11402,0,378,379,425,427,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,26120,Unknown,60.917,6.95,Medium,Medium,12,3810637.8,1,1437047.4,17.04,15.07,11.03,8.07,17,15,11,8,0,0,0,0,0
False,True,ingo,team=41,8,30,90.757,90757,31948,19435,39374,2,1,0,0,4,3,286,1.0,-0.001,0.0,7,11451,0,379,380,426,428,80,80,80,80,80,80,80,80,110,21.3,21.3,24.2,24.2,Clear,29,20,58,25864,Unknown,59.391,6.07,Soft,Soft,12,3809097.5,1,1600441.9,100.0,0.0,5.23,0.0,34,65,22,19,0,0,0,0,2
False,True,JackWasAlive,team=41,2,30,91.358,91358,32019,19548,39791,3,1,0,0,3,3,297,1.0,0.061,0.0,8,10613,1,375,376,422,424,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,25096,Unknown,61.095,7.05,Medium,Medium,14,3748444.2,1,1439157.2,0.0,0.0,100.0,0.0,65,19,16,12,0,0,0,0,1
False,True,hester,team=41,24,30,90.82,90820,32231,19489,39100,4,1,0,0,8,3,285,1.0,-0.001,0.0,7,11416,0,376,377,421,423,90,90,90,90,90,90,90,90,110,21.3,21.3,24.2,24.2,Clear,29,20,58,18440,Unknown,59.38,6.07,Hard,Hard,9,3696646.8,1,1602514.4,0.0,100.0,0.0,0.0,197,64,108,127,0,0,0,0,6
False,True,NyanNyagi,team=41,2,30,91.706,91706,32188,19593,39925,5,2,0,0,6,5,285,1.0,-0.002,0.0,7,11411,0,366,367,410,413,80,80,80,80,80,80,80,80,110,21.3,21.3,24.2,24.2,Clear,29,20,58,10248,Unknown,58.634,5.64,Soft,Soft,12,3725732.5,1,1638651.8,0.0,21.44,19.08,14.24,239,240,38,65,0,0,0,0,4
False,True,sakamuni2,team=41,2,30,91.639,91639,32344,19423,39872,6,1,0,0,12,3,283,1.0,0.001,0.0,7,11325,0,364,365,408,410,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,7176,Unknown,61.619,7.36,Medium,Medium,22,3761095.2,1,1614590.6,0.0,0.0,0.0,0.0,195,65,246,220,16,12,0,0,10
False,True,Kyoko,team=41,2,30,91.685,91685,32497,19552,39636,7,1,0,0,13,3,284,1.0,0.001,0.0,7,11370,0,368,369,412,414,90,90,90,90,90,90,90,90,110,21.3,21.3,24.2,24.2,Clear,28,20,58,5384,Unknown,62.122,7.64,Hard,Hard,8,3773363.0,1,1554370.1,0.0,0.0,100.0,0.0,96,227,64,198,7,4,3,0,11
False,True,M1skycc,team=41,24,30,91.433,91433,32215,19434,39784,8,2,0,0,14,5,284,1.0,-0.002,0.0,7,11388,0,373,374,417,419,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,3080,Unknown,61.689,7.39,Medium,Medium,17,3747943.0,1,1607624.0,0.0,0.0,0.0,21.05,154,91,149,65,21,18,12,0,12
